"id","company_name","level_of_certification","date_of_award","expiry_date","sector_id","email","phone_no","created_by","updated_by","created_at","updated_at","deleted_at"
"14","INDIAN OIL CORPORATION LTD - LPG TERMINAL","Silver","2020-03-01","2023-02-01","59","sharmarajeev@indianoil.in","9112065225",NULL,NULL,"2023-05-25 12:27:56.0000",NULL,NULL
"15","INDIAN OIL CORPORATION LTD, AHMEDABAD TERNMINAL","Gold","2020-03-01","2023-02-01","59","sourabh@indianoil.in","9825829459",NULL,NULL,"2023-05-25 12:33:41.0000",NULL,NULL
"16","MARICO LTD","Platinum","2020-03-01","2023-05-01","13","a.gobinath@marico.com","9994853465",NULL,NULL,"2023-05-25 12:34:43.0000",NULL,NULL
"17","AJAY POLY PVT LIMITED","Silver","2020-06-01","2023-06-01","11","jasmeet.singh@applindia.co.in","9872133701",NULL,NULL,"2023-05-25 12:35:49.0000",NULL,NULL
"18","BMR HVAC","Silver","2020-06-01","2023-06-01","11","nayak.k@baglagroup.com","9315912131",NULL,NULL,"2023-05-25 12:37:10.0000",NULL,NULL
"19","DALMIA CEMENT (BHARAT) LIMITED, UNIT-KAPILAS CEMENT MANUFACTURING WORKS","Platinum","2020-06-01","2023-06-01","6","patel.mohan@gmail.com","8118095036",NULL,NULL,"2023-05-25 12:44:04.0000",NULL,NULL
"20","INDIA SEAH PRECISION METAL PVT. LTD","Bronze","2020-06-01","2023-06-01","11","arunsharma@indiaseah.com","9999704835",NULL,NULL,"2023-05-25 12:45:24.0000",NULL,NULL
"21","TRIVENI ELECTROPLAST","Silver","2020-06-01","2023-06-01","11","brijesh@trivenielectroplast.in","9810478121",NULL,NULL,"2023-05-25 12:46:27.0000",NULL,NULL
"22","UKB ELECTRONICS PVT LTD","Bronze","2020-06-01","2023-06-01","11","sambhavtayal@ukbindia.com","9958222471",NULL,NULL,"2023-05-25 12:47:14.0000",NULL,NULL
"23","VI-SON INDUSTRIES","Bronze","2020-06-01","2023-06-01","11","qa.hp@vi-son.com","8739988288",NULL,NULL,"2023-05-25 12:48:07.0000",NULL,NULL
"24","XPRO INDIA LIMTED","Bronze","2020-06-01","2023-06-01","11","smaheshwari@xproindia.com","9970058438",NULL,NULL,"2023-05-25 12:49:19.0000",NULL,NULL
"25","INDIAN OIL CORPORATION LTD (IOCL), LUBE BLENDING PLANT","Gold","2020-07-01","2023-07-01","59","kumardevesh@indianoil.in","8295930946",NULL,NULL,"2023-05-25 13:18:03.0000",NULL,NULL
"26","ITC LTD - PSPD","Platinum+","2020-07-01","2023-06-01","29","Phani.Marella@itc.in","9866220187",NULL,NULL,"2023-05-25 13:19:18.0000","2023-05-25 18:53:21",NULL
"27","INDIAN OIL CORPORATION LTD - LUBE PLANT","Silver","2020-07-10","2023-07-09","59","kapilkumar@indianoil.in","9833289918",NULL,NULL,"2023-05-25 13:20:27.0000",NULL,NULL
"28","GALAXY SURFACTANTS LTD","Silver","2020-08-01","2023-08-01","7","sreeja.mala@galaxysurfactants.com","9833366188",NULL,NULL,"2023-05-25 13:24:05.0000",NULL,NULL
"29","ACSEN TEX PRIVATE LIMITED, ATTUR","Gold","2020-09-01","2023-09-01","34","hr@acsentex.com","9944941681",NULL,NULL,"2023-05-25 13:28:22.0000",NULL,NULL
"30","CHANVIM ENGINEERING (I) PVT LTD","Bronze","2020-09-01","2023-09-01","11","sable@boranagroup.com","8600047426",NULL,NULL,"2023-05-25 13:29:36.0000",NULL,NULL
"31","COCHIN SHIPYARD LTD","Silver","2020-09-01","2023-09-01","62","jayasree.kk@cochinshipyard.com","9895705108",NULL,NULL,"2023-05-25 13:31:31.0000",NULL,NULL
"32","DESHMUKH UDYOG PVT LTD","Platinum","2020-09-01","2023-09-01","11","uday@deshmukhudyog.com","9422401968",NULL,NULL,"2023-05-25 13:33:02.0000",NULL,NULL
"33","JK TYRE INDUSTRIES LIMITED","Gold","2020-09-01","2023-09-01","11","ajay.chaudhary@jkmail.com","8349994727",NULL,NULL,"2023-05-25 13:44:04.0000",NULL,NULL
"34","MAGNUM CLOTHING PVT LTD","Bronze","2020-09-01","2023-09-01","49","umapriya@magnumclothing.com","9444035608",NULL,NULL,"2023-05-25 13:45:11.0000",NULL,NULL
"35","NANDA GLASS INDUSTRY","Certified","2020-09-01","2023-09-01","11","anupnanda@nandaglass.com","9810081137",NULL,NULL,"2023-05-25 13:46:23.0000",NULL,NULL
"36","INDIAN OIL CORPORATION LIMITED, GUWAHATI TERMINAL- BETKUCHI, ASSAM","Gold","2023-03-31","2026-03-30","59","dasdj@indianoil.in","8794729685",NULL,NULL,"2023-05-25 13:47:07.0000",NULL,NULL
"37","OERLIKON BALZERS COATING INDIA PVT. LTD","Silver","2020-09-01","2023-09-01","7","vijaykant.more@oerlikon.com","7798981323",NULL,NULL,"2023-05-25 13:47:44.0000",NULL,NULL
"38","ROBERTSHAW CONTROLS PVT LTD","Silver","2020-09-01","2023-09-01","11","jitendra.mangle@robertshaw.com","7219212960",NULL,NULL,"2023-05-25 13:48:49.0000",NULL,NULL
"39","INDIAN OIL CORPORATION LIMITED, ALLAHABAD OIL TERMINAL, U P","Gold","2023-03-31","2026-03-30","59","varun@decalorie.com","7014755821",NULL,NULL,"2023-05-25 13:49:01.0000",NULL,NULL
"40","ATHARVA CORRUGATIONS PVT LTD","Bronze","2020-10-01","2023-10-01","11","sanjaymache@rediffmail.com","9604426579",NULL,NULL,"2023-05-25 13:50:01.0000",NULL,NULL
"42","GENIUS POLYMER INDUSTRIES","Silver","2020-10-01","2023-10-01","7","gpolymerind2016@gmail.com","9370263310",NULL,NULL,"2023-05-25 13:51:00.0000",NULL,NULL
"43","INDIAN OIL CORPORATION LIMITED; PORT BLAIR AVIATION FUEL STATION","Silver","2023-03-31","2026-03-30","59","keerthi.dsouza@lgpsllp.com","9880287232",NULL,NULL,"2023-05-25 14:01:22.0000",NULL,NULL
"44","BURCKHARDT COMPRESSION INDIA PRIVATE LIMITED","Gold","2022-05-01","2025-05-01","11","Mangesh.Bhalerao@burckhardtcompression.com","9822430371",NULL,NULL,"2023-05-25 14:15:43.0000",NULL,NULL
"45","INDIAN OIL CORPORATION LIMITED, VADODARA LPG TERMINAL, DUMAD, GUJARAT","Silver","2023-03-31","2026-03-30","59","vimaleswarlal@yahoo.com","9442673005",NULL,NULL,"2023-05-25 14:16:11.0000",NULL,NULL
"46","BURCKHARDT COMPRESSION INDIA PRIVATE LIMITED","Gold","2022-05-01","2025-05-01","11","Mangesh.Bhalerao@burckhardtcompression.com","9822430371",NULL,NULL,"2023-05-25 14:16:51.0000",NULL,NULL
"47","INDIAN OIL CORPORATION LIMITED, LUCKNOW OIL TERMINAL","Gold","2023-03-31","2026-03-30","59","varun@decalorie.com","7014755821",NULL,NULL,"2023-05-25 14:17:10.0000",NULL,NULL
"48","HINDUSTAN PETROLEUM CORPORATION LIMITED, KOTA LPG BOTTLING PLANT","Gold","2023-04-03","2026-04-02","59","abhijeetpawar@hpcl.in","9769499137",NULL,NULL,"2023-05-25 14:18:19.0000",NULL,NULL
"49","CARRIAGE & WAGON WORKSHOP KALKA","Gold","2022-05-01","2025-05-01","30","varun@decalorie.com","7014755821",NULL,NULL,"2023-05-25 14:18:26.0000",NULL,NULL
"50","INDIAN OIL CORPORATION LTD - SIDHPUR OIL TERMINAL","Bronze","2022-05-01","2025-05-01","59","shrivastavat@indianoil.in","9265316975",NULL,NULL,"2023-05-25 14:19:25.0000",NULL,NULL
"51","INDIAN OIL CORPORATION LTD, AHMEDABAD TERNMINAL","Platinum","2022-05-01","2025-05-01","59","nawink@indianoil.in","9913192186",NULL,NULL,"2023-05-25 14:20:21.0000",NULL,NULL
"52","INDIAN OIL CORPORATION LTD - REWARI OIL TERMINAL","Silver","2022-05-01","2025-05-01","59","guptaa2@indianoil.in","8979272272",NULL,NULL,"2023-05-25 14:21:34.0000",NULL,NULL
"53","DIESEL LOCO & WAGON REPAIR WORKSHOP","Gold","2022-05-06","2025-05-05","30","varun@decalorie.com","7014755821",NULL,NULL,"2023-05-25 14:22:38.0000",NULL,NULL
"54","PATIALA LOCOMOTIVE WORKSHOP; PATIALA (PLW)","Gold","2023-04-08","2026-04-07","30","shailendra@incubeglobal.org","9983144773",NULL,NULL,"2023-05-25 14:22:38.0000",NULL,NULL
"55","ARAGEN LIFE SCIENCES PRIVATE LIMITED","Silver","2022-06-01","2025-06-01","26","amarnath.paluru@aragen.com","9121014080",NULL,NULL,"2023-05-25 14:23:33.0000",NULL,NULL
"56","INDIAN OIL CORPORATION LIMITED; SEKMAI BOTTLING PLANT","Silver","2023-03-30","2025-03-29","59","tcert.certification@gmail.com","9628166661",NULL,NULL,"2023-05-25 14:24:00.0000",NULL,NULL
"57","SVS REFCOMP PVT. LTD.","Silver","2020-10-01","2023-10-01","11","pravinvarade@svsindia.co.in","7410071504",NULL,NULL,"2023-05-25 14:24:20.0000",NULL,NULL
"58","INDIAN OIL CORPORATION LTD - BIJWASAN OIL TERMINAL","Bronze","2022-06-01","2025-06-01","59","GUPTAR6@INDIANOIL.IN","9971152080",NULL,NULL,"2023-05-25 14:24:24.0000",NULL,NULL
"59","CUMMINS GENERATOR TECHNOLOGIES INDIA PRIVATE LTD","Gold","2020-12-01","2023-12-01","11","kunal.palshikar@cummins.com","7447428066",NULL,NULL,"2023-05-25 14:25:14.0000",NULL,NULL
"60","INDIAN OIL CORPORATION LIMITED; INDANE BOTTLING PLANT, LUCKNOW","Platinum","2023-03-30","2026-03-29","59","tcert.certification@gmail.com","9628166661",NULL,NULL,"2023-05-25 14:25:20.0000",NULL,NULL
"61","INDIAN OIL CORPORATION LTD - JAIPUR LPG BOTTLING PLANT","Gold","2022-06-01","2025-06-01","59","rmeena@indianoil.in","9214016617",NULL,NULL,"2023-05-25 14:25:32.0000",NULL,NULL
"62","INDIAN OIL CORPORATION LTD - JAIPUR OIL TERMINAL","Gold","2022-06-01","2025-06-01","59","KHOKARRS@INDIANOIL.IN","8114498974",NULL,NULL,"2023-05-25 14:26:12.0000",NULL,NULL
"63","JK TYRE & INDUSTRIES LTD","Platinum","2022-06-01","2025-06-01","11","agaggar@jkmail.com","9799999955",NULL,NULL,"2023-05-25 14:26:55.0000",NULL,NULL
"64","DIESEL LOCO SHED","Gold","2020-12-01","2023-12-01","30","srdmedvta@gmail.com","9724093401",NULL,NULL,"2023-05-25 14:27:13.0000",NULL,NULL
"65","HINDUSTAN ZINC LTD - DARIBA SMELTER","Gold","2022-06-05","2025-06-04","21","vivek.kumar5@vedanta.co.in","9358848573",NULL,NULL,"2023-05-25 14:27:53.0000",NULL,NULL
"66","ELECTRIC LOCO SHED, KAZIPET","Silver","2020-12-01","2023-12-01","30","elskzj@gmail.com","9701371305",NULL,NULL,"2023-05-25 14:28:26.0000",NULL,NULL
"67","HINDUSTAN ZINC LTD - DEBARI SMELTER","Silver","2022-06-05","2025-06-04","21","digamnbar.patil@vedanta.co.in","9568001100",NULL,NULL,"2023-05-25 14:28:39.0000",NULL,NULL
"68","TATA METALIKS LTD","Gold","2022-06-24","2025-06-23","63","rahul.deb@tatametaliks.co.in","9073326253",NULL,NULL,"2023-05-25 14:29:25.0000",NULL,NULL
"69","MAS KNITS","Gold","2020-12-01","2023-12-01","49","sivasankar@exelsourcing.com","9843114001",NULL,NULL,"2023-05-25 14:29:28.0000",NULL,NULL
"70","DENSO TEN MINDA, BAWAL, HARYANA","Gold","2023-04-07","2026-04-06","11","shubham.singh@densotenminda.co.in","9792915306",NULL,NULL,"2023-05-25 14:29:34.0000",NULL,NULL
"71","APCOTEX INDUSTRIES LTD","Bronze","2022-07-01","2025-07-01","7","hnchaudhari@apcotex.com","9820384536",NULL,NULL,"2023-05-25 14:30:09.0000",NULL,NULL
"72","CUMMINS TURBO TECHNOLOGIES","Platinum","2022-07-11","2025-07-10","11","Neha.Pendse@cummins.com","7272422917",NULL,NULL,"2023-05-25 14:31:00.0000",NULL,NULL
"73","HINDUSTAN PETROLEUM CORPORATION LTD LONI TERMINAL","Silver","2023-04-07","2026-04-06","59","abhijeetpawar@hpcl.in","9769499137",NULL,NULL,"2023-05-25 14:31:26.0000",NULL,NULL
"74","CUMMINS TURBO TECHNOLOGIES","Platinum","2022-07-11","2025-07-10","11","mayank.geete@cummins.com","8805269800",NULL,NULL,"2023-05-25 14:31:44.0000",NULL,NULL
"75","HINDUSTAN ZINC LTD","Bronze","2020-12-22","2023-12-21","21","Aditya.Jalan@vedanta.co.in","8003093638",NULL,NULL,"2023-05-25 14:32:12.0000",NULL,NULL
"76","INDIAN OIL CORPORATION LIMITED; MYSORE BOTTLING PLANT","Platinum","2023-03-30","2026-03-29","59","milindk@worldenviro.com","9322285723",NULL,NULL,"2023-05-25 14:32:30.0000",NULL,NULL
"77","GORAKHPUR WORKSHOP","Gold","2022-07-15","2025-07-14","30","tcert.certification@gmail.com","9628166661",NULL,NULL,"2023-05-25 14:32:34.0000",NULL,NULL
"78","INDIAN OIL CORPORATION LTD - LPG BOTTLING PLANT","Gold","2022-08-01","2025-08-01","59","kumark10@indianoil.in","6901254021",NULL,NULL,"2023-05-25 14:33:21.0000",NULL,NULL
"79","INDIAN OIL CORPORATION LIMITED, OIL TERMINAL AND LABORATORY, AGRA, UP","Gold","2023-03-03","2026-03-02","59","ekologiksinfinite@gmal.com","8981219959",NULL,NULL,"2023-05-25 14:33:53.0000",NULL,NULL
"80","GVK BIOSCIENCES PVT LTD , UNIT 1","Silver","2021-01-01","2024-01-01","26","anand.pise@gvkbio.com","8790133877",NULL,NULL,"2023-05-25 14:34:13.0000",NULL,NULL
"82","GVK BIOSCIENCES PVT LTD, UNIT 2","Silver","2021-01-01","2024-01-01","26","anand.pise@gvkbio.com","8790133877",NULL,NULL,"2023-05-25 14:36:21.0000",NULL,NULL
"83","NORTHERN RAILWAY - ALAMBAGH WORKSHOP","Gold","2021-01-01","2024-01-01","30","cwm.amv@gmail.com","9760530401",NULL,NULL,"2023-05-25 14:37:26.0000",NULL,NULL
"84","WAGON REPAIR WORKSHOP","Gold","2021-01-01","2024-01-01","31","sseiso.wrskota@gmail.com","9001017497",NULL,NULL,"2023-05-25 14:39:08.0000",NULL,NULL
"85","GAIL (INDIA) LIMITED","Silver","2021-01-29","2024-01-28","25","rpateria@gail.co.in","9425309938",NULL,NULL,"2023-05-25 14:41:10.0000",NULL,NULL
"86","DYNATECH CONTROLS PVT LTD","Bronze","2021-02-01","2024-02-01","11","devendrakumar@dynatech.co.in","9897544520",NULL,NULL,"2023-05-25 14:42:16.0000",NULL,NULL
"87","MASTER CRAFT INDUSTRIES LTD","Silver","2021-02-01","2024-02-01","11","info@master-crafts.com","9872095554",NULL,NULL,"2023-05-25 14:45:31.0000",NULL,NULL
"88","SATYAM AUTO COMPONENTS LTD","Certified","2021-02-01","2024-02-01","11","subhash.kamboj@satyamauto.in","9855453246",NULL,NULL,"2023-05-25 14:46:29.0000",NULL,NULL
"89","SINGHAL SINTERED PVT LTD","Silver","2021-02-01","2024-02-01","11","gautam@ssppl.com","9811716774",NULL,NULL,"2023-05-25 14:47:27.0000",NULL,NULL
"90","HINDUSTAN PETROLEUM CORPORATION LIMITED - ANANTAPUR LPG PLANT","Platinum","2021-02-20","2024-02-19","25","Brahmaji.Ayyagari@hpcl.in","9666964509",NULL,NULL,"2023-05-25 14:49:06.0000",NULL,NULL
"91","RAILWAYS - RAYANAPADU WORKSHOP","Platinum","2021-02-26","2024-02-25","31","cwmryps@gmail.com","9701611600",NULL,NULL,"2023-05-25 14:50:17.0000",NULL,NULL
"92","LOCOMOTIVE WORKSHOP, NORTHERN RAILWAY , CHARBAGH","Gold","2021-03-01","2024-03-01","31","raj@greentree.global","9729530465",NULL,NULL,"2023-05-25 14:51:22.0000",NULL,NULL
"93","HINDUSTAN PETROLEUM CORPORATION LIMITED, PATNA NEW IRD","Gold","2021-03-25","2024-03-21","25","alokkch@hpcl.in","9769499137",NULL,NULL,"2023-05-25 14:52:16.0000",NULL,NULL
"94","HSIL","Gold","2021-04-19","2024-04-18","11","narendra.kumar@hindware.in","9024004502",NULL,NULL,"2023-05-25 14:53:19.0000",NULL,NULL
"95","ACE MANUFACTURING SYSTEMS LTD","Gold","2021-05-01","2024-05-01","11","ganeshs@amslindia.co.in","9845589892",NULL,NULL,"2023-05-25 14:56:02.0000",NULL,NULL
"96","NIPPON PAINT (INDIA) PVT LTD","Gold","2021-06-01","2024-06-01","53","arun@nipponpaint.co.in","9176550021",NULL,NULL,"2023-05-25 14:56:52.0000",NULL,NULL
"97","GAIL (INDIA) LIMITED","Silver","2021-06-03","2024-06-02","25","PINTU.JAIN@GAIL.CO.IN","8005829484",NULL,NULL,"2023-05-25 14:57:45.0000",NULL,NULL
"98","ASTRAL LIMITED (SILENCIO MANUFACTURING DIVISION)","Gold","2021-08-01","2024-08-01","11","harit.bhatt@astralpipes.com","6353534194",NULL,NULL,"2023-05-25 14:58:29.0000",NULL,NULL
"99","CARRIAGE AND WAGON WORKSHOP","Silver","2021-08-01","2024-08-01","31","imscellcwper@gmail.com","9500041685",NULL,NULL,"2023-05-25 15:02:31.0000",NULL,NULL
"100","LOCO WORKS","Bronze","2021-08-01","2024-08-01","31","arun.devraj@gov.in","9003060400",NULL,NULL,"2023-05-25 15:06:40.0000",NULL,NULL
"101","KHARAGPUR RAILWAY WORKSHOP, SOUTH EASTERN RAILWAY","Silver","2021-09-01","2024-09-01","31","dyceewskgp@gmail.com","9002081338",NULL,NULL,"2023-05-25 15:07:41.0000",NULL,NULL
"102","TATA STEEL DOWNSTREAM PRODUCTS LIMITED (TSDPL)","Platinum","2021-09-24","2024-09-23","63","tanmoy@tspdl.com","8888899420",NULL,NULL,"2023-05-25 15:09:36.0000",NULL,NULL
"103","NATURAL REMEDIES PVT LTD","Gold","2021-09-27","2024-09-26","26","sathish.k@naturalremedy.com","6379906622",NULL,NULL,"2023-05-25 15:10:47.0000",NULL,NULL
"104","INDIAN OIL CORPORATION LTD - BETKUCHI","Silver","2021-10-01","2024-10-01","59","subhradip@indianoil.in","9734044660",NULL,NULL,"2023-05-25 15:11:52.0000",NULL,NULL
"105","CARRIAGE WORKSHOP, NORTH WESTERN RAILWAY","Gold","2021-10-05","2024-10-04","31","varun@decalorie.com","7014755821",NULL,NULL,"2023-05-25 15:13:31.0000",NULL,NULL
"106","MOTIBAGH RAILWAY WORKSHOP","Bronze","2021-10-22","2024-10-21","31","dycme.mibw@gmail.com","9766372703",NULL,NULL,"2023-05-25 15:14:40.0000",NULL,NULL
"107","CARRIAGE WORKSHOP","Gold","2021-11-15","2024-11-14","31","deeshopsmyss@gmail.com","9731667451",NULL,NULL,"2023-05-25 15:15:59.0000",NULL,NULL
"108","RAIL WHEEL FACTORY, YELAHANKA","Gold","2021-11-26","2023-11-25","31","prakash_siddappa@yahoo.co.in","9108501312",NULL,NULL,"2023-05-25 15:19:45.0000",NULL,NULL
"109","ELECTRIC LOCO SHED, KAZIPET","Silver","2021-12-01","2024-12-01","31","elskzj@gmail.com","9701371305",NULL,NULL,"2023-05-25 15:21:06.0000",NULL,NULL
"110","INDIAN OIL CORPORATION LTD - JASIDH TERMINAL","Gold","2021-12-01","2024-12-01","59","lshrivastava@indianoil.in","8336084343",NULL,NULL,"2023-05-25 15:21:57.0000",NULL,NULL
"111","HONDA MOTORCYCLE AND SCOOTER INDIA PVTD LTD","Platinum","2020-03-01","2023-02-01","3","sriram.karikkat@honda2wheelersindia.com","8003298263",NULL,NULL,"2023-05-25 15:23:00.0000",NULL,NULL
"112","CARRIAGE WORKSHOP","Gold","2021-12-31","2024-12-30","31","tenderjuws@gmail.com","9001198328",NULL,NULL,"2023-05-25 15:23:50.0000",NULL,NULL
"113","GOLDEN ROCK CENTRAL WORKSHOP, PONMALAI – SOUTHERN RAILWAY","Platinum","2022-01-01","2024-12-31","31","ksnsrirangam@yahoo.co.in","7708522233",NULL,NULL,"2023-05-25 15:25:34.0000",NULL,NULL
"114","INDIAN OIL CORPORATION LTD, INDANE BOTTLING PLANT","Silver","2022-01-01","2025-01-01","59","SANJIVK@INDIANOIL.IN","8004912864",NULL,NULL,"2023-05-25 15:26:30.0000",NULL,NULL
"115","GAIL GANDHAR GAS PROCESSING STATION","Silver","2022-01-06","2025-01-05","25","nikunjb@gail.co.in","9662038592",NULL,NULL,"2023-05-25 15:27:44.0000",NULL,NULL
"116","DIESEL LOCO SHED","Silver","2022-01-13","2025-01-12","31","nagasayana24@gmail.com","9701373401",NULL,NULL,"2023-05-25 15:29:17.0000",NULL,NULL
"117","GODREJ INDUSTRIES LIMITED","Platinum","2022-01-18","2025-01-17","7","rajesh.agrawal@godrejinds.com","9909995727",NULL,NULL,"2023-05-25 15:30:15.0000",NULL,NULL
"118","HERO CENTRE FOR INNOVATION & TECHNOLOGY","Platinum","2022-01-18","2025-01-17","60","harsh1.sharma@heromotocorp.com","9227602493",NULL,NULL,"2023-05-25 15:31:14.0000",NULL,NULL
"119","CLEAN SCIENCE TECHNOLOGIES","Silver","2022-01-31","2025-01-30","26","purchaseunit2@cleanscience.co.in","7888099828",NULL,NULL,"2023-05-25 15:32:31.0000",NULL,NULL
"120","ACE DESIGNERS LIMITED","Bronze","2022-02-01","2025-02-01","11","giridhar@acedesigners.co.in","9606078220",NULL,NULL,"2023-05-25 15:33:52.0000",NULL,NULL
"121","INDIAN OIL CORPORATION LTD, AMBABAI DEPOT","Gold","2022-02-01","2025-02-01","59","agrawalp1@indianoil.in","9109915593",NULL,NULL,"2023-05-25 15:34:49.0000",NULL,NULL
"122","INDIAN OIL CORPORATION LTD, INDANE BOTTLING PLANT","Silver","2022-02-01","2025-02-01","59","axalxo@indianoil.in","9471190265",NULL,NULL,"2023-05-25 15:35:40.0000",NULL,NULL
"123","INDIAN OIL CORPORATION LTD - KARNAL LPG BP","Gold","2022-02-01","2025-02-01","59","guptashyamlal@indianoil.in","8901000789",NULL,NULL,"2023-05-25 15:36:31.0000",NULL,NULL
"124","INDIAN OIL CORPORATION LTD - MEENAMBAKKAM AFS","Silver","2022-02-01","2025-02-01","59","KUMARPRAVEEN2@INDIANOIL.IN","7826897941",NULL,NULL,"2023-05-25 15:37:16.0000",NULL,NULL
"125","INDIAN OIL CORPORATION LTD - TIKRI KALAN LPG BP","Bronze","2022-02-01","2025-02-01","59","ntundup@indianoil.in","9910805962",NULL,NULL,"2023-05-25 15:38:05.0000",NULL,NULL
"126","RIALTO ENTERPRISES PVT LTD","Platinum","2022-02-15","2025-02-14","13","arunkumar.j.1@pg.com","9940497325",NULL,NULL,"2023-05-25 15:39:11.0000",NULL,NULL
"127","GAIL (INDIA) LIMITED, VIZAG - SECUNDERABAD LPG PIPELINE (VSPL)","Silver","2022-02-17","2025-02-16","25","s.patta@gail.co.in","9490760725",NULL,NULL,"2023-05-25 15:40:14.0000",NULL,NULL
"128","CARRIAGE REPAIR WORKSHOP, TIRUPATI","Gold","2022-03-01","2025-03-01","31","tcert.certification@gmail.com","9628166661",NULL,NULL,"2023-05-25 15:41:07.0000",NULL,NULL
"129","INDIAN RAILWAYS, ROH DEPOT","Silver","2022-03-01","2025-03-01","31","varun@decalorie.com","7014755821",NULL,NULL,"2023-05-25 15:44:08.0000",NULL,NULL
"130","INDIAN OIL CORPORATION LTD - COCHIN LPG BP","Gold","2022-03-01","2025-03-01","59","remyanair@indianoil.in","9995032978",NULL,NULL,"2023-05-25 15:45:06.0000",NULL,NULL
"131","INDIAN OIL CORPORATION LTD - CHENGALPATTU BP","Gold","2022-03-01","2025-03-01","59","girish@earthonomic.com","9941226780",NULL,NULL,"2023-05-25 15:47:04.0000",NULL,NULL
"132","INDIAN OIL CORPORATION LTD - AFS","Bronze","2022-03-01","2025-03-01","59","jpsinha@indianoil.in","7703005530",NULL,NULL,"2023-05-25 15:49:15.0000",NULL,NULL
"133","INDIAN OIL CORPORATION LTD - AFS","Bronze","2022-03-01","2025-03-01","59","guptac1@indianoil.in","8094488596",NULL,NULL,"2023-05-25 15:50:28.0000",NULL,NULL
"134","INDIAN OIL CORPORATION LTD - AFS","Certified","2022-03-01","2025-03-01","59","guriasushil@indianoil.in","9435192431",NULL,NULL,"2023-05-25 15:51:47.0000",NULL,NULL
"135","INDIAN OIL CORPORATION LTD - CHERLAPALLY BP","Platinum","2022-03-01","2025-03-01","59","kumarkj@indianoil.in","8547861672",NULL,NULL,"2023-05-25 15:52:32.0000",NULL,NULL
"136","INDIAN OIL CORPORATION LTD - DEVANGUNTHI BOTTLING PLANT","Gold","2022-03-01","2025-03-01","59","architectsstudio109@gmail.com","9773571840",NULL,NULL,"2023-05-25 15:54:28.0000",NULL,NULL
"137","INDIAN OIL CORPORATION LTD - ITARSI DEPOT","Gold","2022-03-01","2025-03-01","59","kolhem@indianoil.in","9575302482",NULL,NULL,"2023-05-25 15:55:16.0000",NULL,NULL
"138","INDIAN OIL CORPORATION LTD - JABALPUR OIL DEPOOT","Silver","2022-03-01","2025-03-01","59","kolhem@indianoil.in","9575302482",NULL,NULL,"2023-05-25 16:01:21.0000",NULL,NULL
